Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
7,6,7.50,Male,$150.00,12/21/2017,19:44,L-67C,16.00,Burmese,797
8,6,8.50,Male,$175.00,12/21/2017,19:47,L-67C,20.00,Burmese,798
8,0,8.00,Male,$150.00,12/29/2017,23:14,L-67A,18.00,Burmese,813
6,0,6.00,Male,$100.00,12/28/2017,18:50,L-67C,10.00,Burmese,808
6,7,6.58,Male,$125.00,12/28/2017,20:10,L-67C,11.00,Burmese,809
8,0,8.00,Male,$150.00,12/28/2017,19:35,L-67,18.00,Burmese,810
10,6.5,10.54,Female,$225.00,12/28/2017,21:30,L-67,34.00,Burmese,811
9,2.5,9.21,Male,$175.00,12/29/2017,10:30,L-67,25.00,Burmese,814
8,6,8.50,Male,$175.00,12/23/2017,21:30,L-67,20.00,Burmese,801
9,0,9.00,Female,$175.00,1/4/2018,13:30,L-28T,30.00,Burmese,820
8,6,8.50,Male,$175.00,1/4/2018,11:00,L-28T,18.00,Burmese,821
10,11,10.92,Female,$225.00,1/4/2018,19:30,Immokalee Rd & Oil Well Rd,55.00,Burmese,819
7,9,7.75,Male,$150.00,1/5/2018,10:20,L-28T,16.00,Burmese,822
8,6,8.50,Male,$175.00,1/8/2018,12:22,L-28T,17.00,Burmese,824
5,10,5.83,Female,$100.00,1/3/2018,13:00,L-28T,8.00,Burmese,818
6,9,6.75,Male,$125.00,1/8/2018,22:28,L-28T,10.00,Burmese,825
5,6,5.50,Male,$100.00,1/8/2018,20:30,L-31N,9.00,Burmese,826
3,10,3.83,Female,$50.00,12/29/2017,23:30,L-28T,3.00,Burmese,815
10,7,10.58,Male,$225.00,1/6/2018,13:30,L-31,35.00,Burmese,823
8,6,8.50,Male,$175.00,1/9/2018,19:30,L-31N,24.00,Burmese,829
4,6,4.50,Female,$75.00,1/8/2018,18:20,L-31,4.00,Burmese,827
6,8,6.67,Female,$125.00,1/9/2018,21:30,L-31,12.00,Burmese,830
8,7,8.58,Male,$175.00,1/9/2018,22:30,L-31,24.00,Burmese,831
7,3,7.25,Female,$125.00,1/10/2018,21:00,L-31,15.00,Burmese,832
9,1,9.08,Female,$175.00,1/10/2018,20:27,L-31,34.00,Burmese,833
9,7,9.58,Male,$200.00,1/11/2018,19:29,L-67A,22.00,Burmese,839
8,1,8.08,Male,$150.00,1/11/2018,19:38,L-67A,20.00,Burmese,840
9,4,9.33,Male,$175.00,1/11/2018,21:20,L-67A,21.00,Burmese,841
7,7,7.58,Male,$150.00,11/12/2018,20:50,L-67,16.00,Burmese,1887
8,2,8.17,Female,$150.00,1/11/2018,19:15,Rocky Glades,20.00,Burmese,835
12,0,12.00,Female,$250.00,1/11/2018,20:03,Rocky Glades,70.00,Burmese,836
10,6,10.50,Male,$225.00,1/12/2018,21:20,Rocky Glades,39.00,Burmese,842
7,6,7.50,Female,$150.00,1/12/2018,18:20,Rocky Glades,18.00,Burmese,843
4,9,4.75,Female,$75.00,1/12/2018,21:55,Rocky Glades,6.00,Burmese,844
9,3.5,9.29,Female,$175.00,1/11/2018,21:45,L-31N,25.00,Burmese,837
5,5.5,5.46,Male,$75.00,1/12/2018,23:10,L-67A,6.00,Burmese,845
9,10,9.83,Male,$200.00,1/15/2018,14:30,L-67A,24.00,Burmese,848
6,10,6.83,Male,$125.00,1/8/2018,19:50,Rocky Glades,12.00,Burmese,828
7,6,7.50,Male,$150.00,1/16/2018,23:20,L-67A,10.00,Burmese,850
7,8,7.67,Female,$150.00,1/10/2018,23:41,L-67,8.00,Burmese,834
9,7,9.58,Female,$200.00,1/14/2018,20:17,L-28T,28.00,Burmese,847
6,10,6.83,Male,$125.00,1/11/2018,21:30,L-67A,0.90,Burmese,838
9,6,9.50,Male,$200.00,1/17/2018,19:45,L-67A,20.00,Burmese,851
10,4,10.33,Male,$200.00,1/18/2018,13:00,L-28T,32.00,Burmese,853
10,2.5,10.21,Male,$200.00,12/8/2017,19:55,L-67,25.00,Burmese,755
9,5,9.42,Male,$175.00,1/12/2018,23:55,L-67,23.00,Burmese,846
8,6,8.50,Male,$175.00,1/27/2018,19:05,L-67,17.00,Burmese,873
8,0,8.00,Male,$150.00,1/27/2018,22:05,L-67,16.00,Burmese,874
8,0,8.00,Male,$150.00,1/27/2018,14:25,L-67,16.00,Burmese,875
9,6,9.50,Male,$200.00,1/15/2018,19:20,L-67A,23.00,Burmese,849
4,6,4.50,Female,$75.00,1/20/2018,19:49,Rocky Glades,6.00,Burmese,857
10,7,10.58,Female,$225.00,1/21/2018,19:11,L-67A,26.00,Burmese,860
8,0,8.00,Male,$150.00,1/20/2018,13:30,C-111,26.00,Burmese,858
7,7,7.58,Male,$150.00,1/20/2018,14:35,C-111,16.00,Burmese,859
9,1,9.08,Male,$175.00,1/19/2018,21:45,L-67A,20.00,Burmese,855
7,9,7.75,Male,$150.00,1/19/2018,21:55,L-67A,16.00,Burmese,856
8,6,8.50,Male,$175.00,1/23/2018,19:25,L-67A,17.00,Burmese,864
6,9,6.75,Male,$125.00,1/23/2018,21:45,L-67A,9.00,Burmese,865
4,6,4.50,Male,$75.00,1/21/2018,19:37,Rocky Glades,4.00,Burmese,861
9,0,9.00,Male,$175.00,1/23/2018,19:13,Rocky Glades,26.00,Burmese,866
7,0,7.00,Male,$125.00,1/23/2018,21:00,Rocky Glades,12.00,Burmese,867
7,6,7.50,Male,$150.00,1/24/2018,22:50,L-67A,12.00,Burmese,871
6,4,6.33,Male,$100.00,1/17/2018,21:00,L-67,10.00,Burmese,852
8,8,8.67,Male,$175.00,1/23/2018,21:00,L-67,18.00,Burmese,868
8,11,8.92,Male,$175.00,1/23/2018,23:00,L-67,20.00,Burmese,869
9,8,9.67,Male,$200.00,1/28/2018,23:45,L-67,25.00,Burmese,877
7,7,7.58,Male,$150.00,1/26/2018,22:05,L-67,12.00,Burmese,872
7,11,7.92,Male,$150.00,1/27/2018,0:30,L-67,15.00,Burmese,876
8,6,8.50,Female,$175.00,1/22/2018,19:00,Rocky Glades,22.00,Burmese,862
9,9,9.75,Male,$200.00,1/22/2018,22:00,L-67,29.00,Burmese,863
8,7,8.58,Female,$175.00,2/3/2018,23:37,L-67,23.00,Burmese,879
13,0,13.00,Female,$275.00,2/4/2018,20:30,L-67A,72.00,Burmese,881
9,6,9.50,Male,$200.00,1/31/2018,19:00,L-67A,24.00,Burmese,878
9,0,9.00,Male,$175.00,2/4/2018,18:15,L-67A,22.00,Burmese,882
8,6,8.50,Male,$175.00,2/5/2018,20:30,L-67A,18.00,Burmese,883
8,0,8.00,Male,$150.00,2/3/2018,20:00,L-67,20.00,Burmese,880
9,7,9.58,Female,N/A,2/6/2018,23:00,L-67A,19.40,Burmese,884
9,6,9.50,Male,$200.00,2/7/2018,19:20,Rocky Glades,28.00,Burmese,885
8,4,8.33,Male,$150.00,2/9/2018,19:30,L-67A,16.00,Burmese,886
8,6,8.50,Female,$175.00,2/13/2018,17:00,L-31E,18.00,Burmese,890
9,0,9.00,Male,$175.00,2/13/2018,20:34,Rocky Glades,24.00,Burmese,891
10,7,10.58,Male,$225.00,2/13/2018,20:30,L-67A,32.00,Burmese,892
10,3,10.25,Female,$200.00,2/17/2018,20:30,L-31N,39.00,Burmese,893
8,3,8.25,Female,$150.00,2/17/2018,22:30,L-31N,16.00,Burmese,894
7,1,7.08,Male,$125.00,2/11/2018,19:13,L-67A,16.00,Burmese,888
6,6,6.50,Female,$125.00,2/17/2018,20:10,L-67,8.00,Burmese,895
6,2,6.17,Male,$100.00,2/20/2018,20:25,L-31N,9.00,Burmese,897
8,7,8.58,Male,$175.00,2/21/2018,23:59,L-31N,20.00,Burmese,899
10,11,10.92,Female,$225.00,2/10/2018,22:40,L-67A,39.00,Burmese,887
10,6,10.50,Male,$225.00,2/26/2018,22:08,L-67,26.00,Burmese,901
5,6,5.50,Female,$100.00,1/23/2018,20:00,Rocky Glades,7.00,Burmese,870
11,6,11.50,Female,$250.00,2/11/2018,1:45,L-67A,42.00,Burmese,889
5,0,5.00,Male,$75.00,2/23/2018,21:40,L-67A,2.00,Burmese,900
4,6,4.50,Female,$75.00,1/18/2018,19:50,Rocky Glades,2.00,Burmese,854
5,7,5.58,Male,$100.00,2/28/2018,6:00,Collier City,15.00,Burmese,902
6,8,6.67,Male,$125.00,3/6/2018,11:00,L-31E,8.00,Burmese,903
7,7,7.58,Male,$150.00,3/6/2018,15:29,Rocky Glades,14.00,Burmese,904
7,6,7.50,Female,$150.00,3/11/2018,6:45,C-111,8.00,Burmese,906
9,6,9.50,Male,$200.00,3/7/2018,19:20,Rocky Glades,18.00,Burmese,905
12,6,12.50,Female,$275.00,3/17/2018,18:12,L-28T,48.00,Burmese,908
8,6,8.50,Male,$175.00,3/17/2018,18:12,L-28T,12.00,Burmese,909
5,7,5.58,Male,$100.00,3/15/2019,21:40,L-30,4.00,Burmese,1994
7,6,7.50,Male,$150.00,3/19/2018,10:15,,10.00,Burmese,911
6,6,6.50,Male,$125.00,3/19/2018,20:30,Rocky Glades,6.00,Burmese,912
8,2,8.17,Male,$150.00,3/17/2018,22:50,L-67,16.00,Burmese,910
9,6,9.50,Male,$200.00,3/19/2018,23:00,L-28T,20.00,Burmese,913
9,6,9.50,Female,$200.00,3/20/2018,17:30,C-111,28.00,Burmese,917
10,10,10.83,Female,$225.00,3/20/2018,20:14,L-28T,36.00,Burmese,914
9,10,9.83,Male,$200.00,3/20/2018,20:14,L-28T,24.00,Burmese,915
10,6,10.50,Female,$225.00,3/20/2018,21:15,Rocky Glades,38.00,Burmese,916
5,6,5.50,Male,$100.00,3/26/2018,23:00,L-67,4.00,Burmese,919
5,11,5.92,Male,$100.00,3/24/2018,20:33,L-67,6.00,Burmese,918
8,2,8.17,Male,$150.00,3/28/2018,21:45,Frog Pond,18.00,Burmese,920
10,0,10.00,Male,$200.00,3/28/2018,22:40,L-31W,24.00,Burmese,921
7,7,7.58,Male,$150.00,3/15/2018,19:30,L-67,10.00,Burmese,907
7,8,7.67,Male,$150.00,4/2/2018,21:00,L-31W,9.00,Burmese,922
8,6,8.50,Female,$175.00,4/6/2018,23:43,Rocky Glades,20.00,Burmese,923
7,10,7.83,Female,$225.00,4/6/2018,20:00,Frog Pond,13.00,Burmese,924
8,3,8.25,Female,$150.00,4/6/2018,22:59,Rocky Glades,16.00,Burmese,925
4,8,4.67,Female,$75.00,4/6/2018,22:20,Frog Pond,3.00,Burmese,926
7,9,7.75,Male,$150.00,4/9/2018,1:00,L-28T,27.00,Burmese,928
11,6,11.50,Female,$250.00,4/9/2018,20:00,Frog Pond,35.00,Burmese,929
8,7,8.58,Female,$175.00,4/9/2018,22:30,L-28T,15.00,Burmese,930
3,11,3.92,Female,$50.00,4/10/2018,19:09,Frog Pond,2.00,Burmese,932
7,0,7.00,,,4/14/2018,,,8.21,,941
4,4,4.33,Male,$50.00,4/14/2018,20:30,Rocky Glades,1.00,Burmese,937
4,6,4.50,Male,$75.00,4/14/2018,20:45,Rocky Glades,1.00,Burmese,938
5,0,5.00,Male,$75.00,4/14/2018,21:00,Rocky Glades,2.00,Burmese,939
7,6,7.50,Male,$150.00,4/14/2018,21:30,Rocky Glades,10.00,Burmese,940
6,5,6.42,Male,$100.00,4/13/2018,21:36,L-31,7.00,Burmese,933
7,0,7.00,Male,$125.00,4/9/2018,23:00,L-31W,8.00,Burmese,931
8,8,8.67,Female,$175.00,4/14/2018,21:48,L-28T,15.00,Burmese,936
6,9,6.75,Male,$125.00,4/20/2018,21:25,Frog Pond,5.00,Burmese,945
4,0,4.00,Male,$50.00,4/22/2018,2:08,L-28T,1.00,Burmese,949
6,1,6.08,Female,$100.00,4/19/2018,20:30,L-67,7.00,Burmese,942
8,9,8.75,Female,$175.00,4/24/2018,20:20,Rocky Glades,14.00,Burmese,952
4,6,4.50,Male,$75.00,4/20/2018,19:58,Rocky Glades,2.00,Burmese,946
6,6,6.50,Male,$125.00,4/20/2018,21:20,Rocky Glades,8.00,Burmese,947
5,8,5.67,Male,$100.00,4/21/2018,19:56,Rocky Glades,5.00,Burmese,948
6,2,6.17,Male,$100.00,4/24/2018,23:40,Rocky Glades,8.00,Burmese,953
5,1,5.08,Female,$75.00,4/25/2018,0:30,Rocky Glades,4.00,Burmese,955
7,10,7.83,Female,$150.00,4/23/2018,23:02,L-31E,12.00,Burmese,951
6,7,6.58,Female,$125.00,4/24/2018,21:25,Frog Pond,8.00,Burmese,954
10,6,10.50,Male,$225.00,4/26/2018,21:45,Frog Pond,24.00,Burmese,956
4,0,4.00,Female,$50.00,4/26/2018,20:00,Rocky Glades,1.00,Burmese,957
9,6,9.50,Male,$200.00,4/28/2018,22:20,L-28T,20.00,Burmese,961
4,7,4.58,Male,$75.00,4/27/2018,20:30,L-31N,1.00,Burmese,959
4,6,4.50,Male,$75.00,4/27/2018,20:40,L-31N,1.00,Burmese,960
12,10,12.83,Female,$275.00,4/30/2018,11:54,Aerojet,56.00,Burmese,964
7,6,7.50,Male,$150.00,4/19/2018,21:00,Rocky Glades,4.00,Burmese,943
9,9,9.75,Male,$200.00,4/26/2018,20:00,L-31W,20.00,Burmese,958
5,9,5.75,Female,$100.00,4/29/2018,21:11,Rocky Glades,4.00,Burmese,963
8,11,8.92,Female,$175.00,4/22/2018,23:11,Rocky Glades,16.00,Burmese,950
7,7,7.58,Male,$150.00,5/1/2018,10:17,L-31N,10.00,Burmese,965
6,6,6.50,Male,$125.00,4/19/2018,21:45,Rocky Glades,8.00,Burmese,944
4,8,4.67,Female,$75.00,5/2/2018,23:35,Rocky Glades,3.00,Burmese,967
9,6.5,9.54,Male,$200.00,4/7/2018,20:30,Frog Pond,16.00,Burmese,927
6,8,6.67,Male,$125.00,4/13/2018,22:30,L-67A,8.00,Burmese,934
12,8,12.67,Female,$275.00,4/13/2018,22:50,L-67A,48.00,Burmese,935
11,0,11.00,Female,$225.00,4/28/2018,22:45,L-28T,46.00,Burmese,962
8,0,8.00,Male,$150.00,5/3/2018,23:00,L-28T,8.00,Burmese,968
8,10,8.83,Female,$225.00,5/4/2018,21:22,L-28T,17.00,Burmese,969
7,2,7.17,Male,$125.00,5/4/2018,22:35,L-28T,7.00,Burmese,970
9,3,9.25,Female,$175.00,5/4/2018,20:45,L-28T,18.00,Burmese,971
8,10,8.83,Male,$175.00,5/5/2018,21:02,L-31,16.00,Burmese,972
5,6,5.50,Male,$100.00,5/5/2018,22:00,L-31E,4.00,Burmese,973
7,9,7.75,Female,$150.00,5/6/2018,21:19,Rocky Glades,10.00,Burmese,974
5,8,5.67,Female,$100.00,5/6/2018,21:52,Rocky Glades,6.00,Burmese,975
7,7,7.58,Male,$150.00,5/7/2018,21:30,L-31W,8.00,Burmese,977
4,0,4.00,Male,$50.00,5/7/2018,22:00,L-31W,2.00,Burmese,978
9,7,9.58,Male,$200.00,5/7/2018,21:30,Frog Pond,16.00,Burmese,979
5,6,5.50,Male,$100.00,5/7/2018,22:25,Frog Pond,4.00,Burmese,980
5,7,5.58,Male,$100.00,5/7/2018,23:02,Frog Pond,4.00,Burmese,981
6,6,6.50,Male,$125.00,5/6/2019,20:25,Rocky Glades,4.00,Burmese,2056
5,0,5.00,Female,$75.00,5/7/2019,20:30,Rocky Glades,2.00,Burmese,2058
16,8,16.67,Female,$375.00,5/8/2018,23:30,Cell 27,75.00,Burmese,982
4,4,4.33,Female,$50.00,5/6/2018,21:00,L-31N,2.00,Burmese,976
12,7,12.58,Male,$275.00,5/11/2018,20:24,Rocky Glades,40.00,Burmese,985
5,0,5.00,Male,$75.00,5/9/2018,23:20,L-31E,3.00,Burmese,984
6,8,6.67,Female,$125.00,5/14/2018,21:34,Rocky Glades,7.00,Burmese,986
8,6,8.50,Male,$175.00,5/1/2018,19:35,Rocky Glades,10.00,Burmese,966
11,9,11.75,Female,$250.00,5/14/2018,23:20,L-31N,38.00,Burmese,987
9,1,9.08,Female,$175.00,5/14/2018,20:05,Frog Pond,22.00,Burmese,988
8,10,8.83,Male,$175.00,5/16/2018,14:42,L-28T,16.00,Burmese,989
6,8,6.67,Male,$125.00,5/8/2018,20:30,Area 3A,7.00,Burmese,983
10,8,10.67,Male,$225.00,5/16/2018,22:15,C-103,24.00,Burmese,990
10,7,10.58,Male,$225.00,5/16/2018,22:30,C-103,26.00,Burmese,991
9,8,9.67,Male,$200.00,5/16/2018,22:59,C-103,22.00,Burmese,992
7,6,7.50,Male,$150.00,5/18/2018,0:01,Frog Pond,7.00,Burmese,1005
11,2,11.17,Male,$225.00,5/18/2018,23:20,L-31E,32.00,Burmese,995
6,4,6.33,Male,$100.00,5/18/2018,20:50,Rocky Glades,8.00,Burmese,996
8,6,8.50,Male,$175.00,5/18/2018,17:50,L-67A,10.00,Burmese,997
7,8,7.67,Male,$150.00,5/18/2018,20:30,L-28T,8.00,Burmese,998
4,8,4.67,Male,$75.00,5/18/2018,21:45,L-28T,2.00,Burmese,999
12,6,12.50,Female,$275.00,5/18/2018,23:45,L-29,56.00,Burmese,1000
12,2,12.17,Female,$250.00,5/21/2018,12:22,L-67,60.00,Burmese,1009
6,6,6.50,Female,$125.00,5/18/2018,21:30,L-30,5.00,Burmese,1001
4,9,4.75,Female,$75.00,5/19/2018,21:45,L-30,2.00,Burmese,1006
10,7,10.58,Male,$225.00,5/19/2018,20:00,L-30,22.00,Burmese,1007
12,8,12.67,Female,$275.00,5/21/2018,21:45,Rocky Glades,50.00,Burmese,1010
3,8,3.67,Female,$50.00,5/18/2018,22:24,L-67,2.00,Burmese,1002
4,11,4.92,Male,$75.00,5/16/2018,21:50,Rocky Glades,2.00,Burmese,993
5,1,5.08,Female,$75.00,5/22/2018,20:30,Rocky Glades,3.00,Burmese,1011
6,11.5,6.96,Male,$125.00,5/22/2018,21:40,Rocky Glades,8.00,Burmese,1012
5,2,5.17,Female,$75.00,5/24/2018,22:05,Rocky Glades,2.00,Burmese,1016
7,6,7.50,Male,$150.00,5/24/2018,22:25,Rocky Glades,8.00,Burmese,1017
7,11,7.92,Male,$150.00,5/18/2018,23:50,L-28T,29.00,Burmese,994
5,2,5.17,Male,$75.00,5/23/2018,22:35,L-28T,15.00,Burmese,1014
4,10,4.83,Male,$75.00,5/23/2018,23:50,L-28T,13.00,Burmese,1015
8,10,8.83,Male,$175.00,5/26/2018,23:22,L-28T,12.00,Burmese,1020
10,11,10.92,Male,$225.00,5/27/2018,21:40,L-28T,30.00,Burmese,1021
4,1,4.08,Male,$50.00,5/18/2018,19:51,Rocky Glades,2.00,Burmese,1003
8,8,8.67,Male,$175.00,5/24/2018,19:53,L-67,8.00,Burmese,1018
16,0,16.00,Female,$350.00,5/27/2018,21:05,Frog Pond,96.00,Burmese,1022
4,11,4.92,Female,$75.00,5/28/2018,0:00,Rocky Glades,3.00,Burmese,1023
4,9,4.75,Male,$75.00,5/20/2018,3:10,Rocky Glades,8.00,Burmese,1008
6,6,6.50,Male,$125.00,5/24/2018,21:42,Rocky Glades,5.00,Burmese,1019
11,7,11.58,Female,$250.00,5/30/2018,22:21,Rocky Glades,24.00,Burmese,1027
9,6,9.50,Male,$200.00,5/30/2018,23:31,Rocky Glades,18.00,Burmese,1028
5,10,5.83,Male,$100.00,5/29/2018,21:26,L-31W,2.00,Burmese,1024
10,10,10.83,Female,$225.00,5/29/2018,19:08,L-31W,32.00,Burmese,1025
9,3,9.25,Male,$175.00,5/29/2018,1:54,L-28T,15.00,Burmese,1026
5,0,5.00,Male,$75.00,6/2/2018,22:10,L-28T,2.00,Burmese,1035
13,0,13.00,Male,$275.00,6/2/2018,0:15,L-28T,48.00,Burmese,1036
5,0,5.00,Male,$75.00,6/1/2018,20:35,Rocky Glades,2.00,Burmese,1032
8,0,8.00,Male,$150.00,5/22/2018,21:00,L-67,10.00,Burmese,1013
8,6,8.50,Male,$175.00,5/30/2018,21:00,L-28T,10.00,Burmese,1029
9,3,9.25,Female,$175.00,5/31/2018,23:00,L-67,16.00,Burmese,1030
4,10,4.83,Female,$75.00,5/31/2018,23:00,L-67,2.00,Burmese,1031
8,7,8.58,Female,$175.00,6/1/2018,0:00,L-31N,8.00,Burmese,1033
11,6,11.50,Male,$250.00,6/1/2018,21:28,Rocky Glades,32.00,Burmese,1034
7,6,7.50,Male,$150.00,6/4/2018,21:40,Rocky Glades,8.00,Burmese,1037
5,7,5.58,Female,$100.00,6/4/2018,22:15,Rocky Glades,3.00,Burmese,1038
7,6,7.50,Male,$150.00,6/4/2018,22:26,Rocky Glades,10.00,Burmese,1039
7,9,7.75,Male,$150.00,6/4/2018,23:35,Rocky Glades,9.00,Burmese,1040
5,0,5.00,Female,$75.00,6/4/2018,20:15,Rocky Glades,2.00,Burmese,1041
8,6,8.50,Male,$175.00,6/6/2018,0:15,L-31E,10.00,Burmese,1045
6,7,6.58,Female,$125.00,6/4/2018,0:04,L-29,4.00,Burmese,1042
12,2,12.17,Male,$250.00,6/4/2018,4:00,L-29,46.00,Burmese,1043
7,0,7.00,Male,$125.00,6/5/2018,23:50,L-31N,6.00,Burmese,1044
8,6,8.50,Male,$175.00,6/9/2018,20:25,Rocky Glades,14.00,Burmese,1047
3,9,3.75,Male,$50.00,6/9/2018,21:43,Rocky Glades,1.00,Burmese,1048
14,6,14.50,Male,$325.00,6/9/2018,22:20,Rocky Glades,60.00,Burmese,1049
11,11,11.92,Female,$250.00,6/7/2018,23:15,L-30,46.00,Burmese,1046
7,9,7.75,Male,$150.00,6/9/2018,10:05,L-67,,Burmese,1050
8,6,8.50,Female,$175.00,6/11/2018,21:30,Rocky Glades,8.00,Burmese,1053
5,6,5.50,Female,$100.00,6/11/2018,21:15,Rocky Glades,1.00,Burmese,1054
7,6,7.50,Male,$150.00,6/11/2018,21:00,Frog Pond,7.00,Burmese,1055
5,7,5.58,Male,$100.00,6/12/2018,21:30,Rocky Glades,2.00,Burmese,1056
7,7,7.58,Male,$150.00,6/13/2018,20:30,Rocky Glades,12.00,Burmese,1061
7,7,7.58,Male,$150.00,6/14/2018,20:01,Rocky Glades,10.00,Burmese,1062
5,6,5.50,Female,$100.00,6/10/2018,20:55,L-31,3.00,Burmese,1051
12,2,12.17,Male,$250.00,6/12/2018,21:20,L-31,35.00,Burmese,1057
7,0,7.00,Female,$125.00,6/12/2018,23:03,L-31,7.00,Burmese,1058
7,6,7.50,Male,$150.00,6/14/2018,12:05,Rocky Glades,8.00,Burmese,1063
10,0,10.00,Male,N/A,6/17/2018,0:01,L-33,24.60,Burmese,1071
5,6,5.50,Female,$100.00,6/10/2018,21:37,L-31N,3.00,Burmese,1052
7,6,7.50,Male,$150.00,6/12/2018,21:34,L-28T,8.00,Burmese,1059
9,9,9.75,Male,$200.00,6/16/2018,22:55,L-28T,24.00,Burmese,1066
6,9,6.75,Male,$125.00,6/14/2018,0:08,C-111,7.00,Burmese,1064
6,1,6.08,Female,$100.00,6/16/2018,1:31,L-28T,4.00,Burmese,1067
13,8,13.67,Female,$300.00,6/16/2018,23:08,L-28T,66.00,Burmese,1068
8,6,8.50,Female,$175.00,6/16/2018,0:50,L-31E,11.00,Burmese,1069
5,0,5.00,Male,$75.00,6/17/2018,22:15,L-31N,2.00,Burmese,1072
8,6,8.50,Male,$175.00,6/18/2018,21:50,Rocky Glades,16.00,Burmese,1074
6,7,6.58,Female,$125.00,6/18/2018,22:03,Rocky Glades,6.00,Burmese,1075
10,7,10.58,Male,$225.00,6/18/2018,20:30,Rocky Glades,20.00,Burmese,1076
9,6,9.50,Male,$200.00,6/17/2018,21:50,Rocky Glades,16.00,Burmese,1073
9,0,9.00,Male,$175.00,6/23/2018,21:15,Rocky Glades,15.00,Burmese,1080
7,0,7.00,Male,$125.00,6/23/2018,19:25,Rocky Glades,7.00,Burmese,1081
7,11,7.92,Male,$150.00,6/23/2018,22:41,Rocky Glades,8.00,Burmese,1082
6,11,6.92,Male,$125.00,6/23/2018,19:35,Rocky Glades,6.00,Burmese,1083
5,6,5.50,Male,$100.00,6/23/2018,20:50,Rocky Glades,2.00,Burmese,1084
5,3,5.25,Male,$75.00,6/23/2018,21:18,Rocky Glades,1.00,Burmese,1085
6,9,6.75,Male,$125.00,6/23/2018,21:38,Rocky Glades,4.00,Burmese,1086
5,0,5.00,Male,$75.00,6/23/2018,21:50,Rocky Glades,1.00,Burmese,1087
7,0,7.00,Male,$125.00,6/16/2018,19:45,Rocky Glades,7.00,Burmese,1070
5,6,5.50,Female,$100.00,6/23/2018,12:45,L-33,1.00,Burmese,1088
7,10,7.83,Female,$150.00,6/23/2018,21:00,L-28T,8.00,Burmese,1089
6,8,6.67,Male,$125.00,6/23/2018,16:20,L-31,7.00,Burmese,1090
11,7,11.58,Female,$250.00,6/24/2018,1:00,L-67,48.00,Burmese,1091
5,0,5.00,Male,$75.00,6/20/2018,20:26,L-67,2.00,Burmese,1077
5,7,5.58,Female,$100.00,6/27/2018,1:40,Cell 27,4.00,Burmese,1097
6,8,6.67,Female,$125.00,6/27/2018,2:13,Cell 27,7.00,Burmese,1098
7,7,7.58,Male,$150.00,6/25/2018,21:14,Rocky Glades,8.00,Burmese,1092
6,6,6.50,Female,$125.00,6/25/2018,23:25,Rocky Glades,4.00,Burmese,1093
8,10,8.83,Female,$175.00,6/25/2018,21:42,L-33,16.00,Burmese,1094
8,0,8.00,Female,$150.00,6/25/2018,22:13,L-33,14.00,Burmese,1095
6,7,6.58,Male,$125.00,6/25/2018,19:45,Rocky Glades,7.00,Burmese,1096
2,2,2.17,Male,$50.00,6/30/2018,21:55,L-28T,1.00,Burmese,1099
8,7,8.58,Female,$175.00,7/2/2018,21:25,L-29,10.00,Burmese,1100
7,6,7.50,Male,$150.00,6/12/2018,20:36,Rocky Glades,8.00,Burmese,1060
4,6,4.50,Male,$75.00,7/2/2018,1:00,L-28T,2.00,Burmese,1101
6,0,6.00,Female,$100.00,7/2/2018,1:57,L-28T,6.00,Burmese,1102
10,6,10.50,Female,$225.00,7/2/2018,2:44,L-28T,22.00,Burmese,1103
8,8,8.67,Male,$175.00,7/3/2018,21:25,Rocky Glades,16.00,Burmese,1104
6,6,6.50,Male,$125.00,7/4/2018,12:10,L-31N,5.00,Burmese,1107
7,6,7.50,Female,$150.00,7/8/2018,22:55,C-113,8.00,Burmese,1109
9,10,9.83,Female,$200.00,7/3/2018,0:20,L-29,24.00,Burmese,1105
6,0,6.00,Female,$100.00,7/6/2018,20:45,Rocky Glades,3.00,Burmese,1108
5,0,5.00,Female,$75.00,7/8/2018,23:15,Rocky Glades,2.00,Burmese,1110
8,7,8.58,Male,$175.00,6/20/2018,22:15,Rocky Glades,10.00,Burmese,1078
4,7,4.58,Female,$75.00,6/22/2018,20:53,Rocky Glades,2.00,Burmese,1079
4,8,4.67,Male,$75.00,7/8/2018,19:45,C-103,2.00,Burmese,1111
2,3,2.25,Female,$50.00,7/9/2018,21:40,L-28T,1.00,Burmese,1117
9,6,9.50,Female,$200.00,7/9/2018,23:00,L-28T,23.00,Burmese,1118
6,6,6.50,Male,$125.00,7/9/2018,23:48,L-28T,5.00,Burmese,1119
2,4,2.33,Female,$50.00,7/8/2018,23:30,L-28T,1.00,Burmese,1112
7,6,7.50,Male,$150.00,7/10/2018,0:55,L-28T,6.00,Burmese,1124
6,6,6.50,Female,$125.00,7/10/2018,22:15,L-28T,4.00,Burmese,1125
2,2,2.17,Male,$50.00,7/11/2018,0:30,L-28T,1.00,Burmese,1136
2,3,2.25,Male,$50.00,7/11/2018,0:35,L-28T,1.00,Burmese,1137
2,7,2.58,Male,$50.00,7/11/2018,22:01,L-67,1.00,Burmese,1138
2,5,2.42,Female,$50.00,7/11/2018,23:30,L-67,1.00,Burmese,1139
8,6,8.50,Male,$175.00,7/11/2018,23:10,L-67,16.00,Burmese,1140
